"relative_path","size_bytes","extension","publish_status","github_path","reason"
"result\idea_scan\family_glitch_transition_estimates.csv","2834",".csv","included","result/idea_scan/family_glitch_transition_estimates.csv","published_lightweight_result"
"result\idea_scan\georgia_pathways_cell_means.csv","1680",".csv","included","result/idea_scan/georgia_pathways_cell_means.csv","published_lightweight_result"
"result\idea_scan\georgia_pathways_estimates.csv","16061",".csv","included","result/idea_scan/georgia_pathways_estimates.csv","published_lightweight_result"
"result\idea_scan\georgia_pathways_state_support.csv","1183",".csv","included","result/idea_scan/georgia_pathways_state_support.csv","published_lightweight_result"
"result\idea_scan\georgia_pathways_support.csv","887",".csv","included","result/idea_scan/georgia_pathways_support.csv","published_lightweight_result"
"result\idea_scan\idea_screen_candidate_summary.csv","2365",".csv","included","result/idea_scan/idea_screen_candidate_summary.csv","published_lightweight_result"
"result\idea_scan\idea_screen_late_expansion.csv","989",".csv","included","result/idea_scan/idea_screen_late_expansion.csv","published_lightweight_result"
"result\idea_scan\idea_screen_manifest.json","628",".json","included","result/idea_scan/idea_screen_manifest.json","published_lightweight_result"
"result\idea_scan\idea_screen_ptc_bins.csv","3340",".csv","included","result/idea_scan/idea_screen_ptc_bins.csv","published_lightweight_result"
"result\idea_scan\idea_screen_ptc_dd.csv","906",".csv","included","result/idea_scan/idea_screen_ptc_dd.csv","published_lightweight_result"
"result\idea_scan\idea_screen_reinsurance.csv","1865",".csv","included","result/idea_scan/idea_screen_reinsurance.csv","published_lightweight_result"
"result\idea_scan\idea_screen_variable_availability.csv","7337",".csv","included","result/idea_scan/idea_screen_variable_availability.csv","published_lightweight_result"
"result\idea_scan\idea_screen_work_requirements.csv","1257",".csv","included","result/idea_scan/idea_screen_work_requirements.csv","published_lightweight_result"
"result\idea_scan\ira_insulin_medicare_estimates.csv","3835",".csv","included","result/idea_scan/ira_insulin_medicare_estimates.csv","published_lightweight_result"
"result\idea_scan\ira_insulin_medicare_raw_cells.csv","2335",".csv","included","result/idea_scan/ira_insulin_medicare_raw_cells.csv","published_lightweight_result"
"result\idea_scan\ira_insulin_medicare_support.csv","1029",".csv","included","result/idea_scan/ira_insulin_medicare_support.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_cell_support.csv","595",".csv","included","result/idea_scan/late_medicaid_expansion_cell_support.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_robustness.csv","12679",".csv","included","result/idea_scan/late_medicaid_expansion_robustness.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_robustness_pivot.csv","1534",".csv","included","result/idea_scan/late_medicaid_expansion_robustness_pivot.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_state_support.csv","2038",".csv","included","result/idea_scan/late_medicaid_expansion_state_support.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_threshold_estimates.csv","13143",".csv","included","result/idea_scan/late_medicaid_expansion_threshold_estimates.csv","published_lightweight_result"
"result\idea_scan\late_medicaid_expansion_threshold_support.csv","707",".csv","included","result/idea_scan/late_medicaid_expansion_threshold_support.csv","published_lightweight_result"
"result\idea_scan\low_income_sep_150fpl_estimates.csv","12571",".csv","included","result/idea_scan/low_income_sep_150fpl_estimates.csv","published_lightweight_result"
"result\idea_scan\low_income_sep_150fpl_raw_cells.csv","5965",".csv","included","result/idea_scan/low_income_sep_150fpl_raw_cells.csv","published_lightweight_result"
"result\idea_scan\low_income_sep_150fpl_support.csv","306",".csv","included","result/idea_scan/low_income_sep_150fpl_support.csv","published_lightweight_result"
"result\idea_scan\medicare_age65_age_bins.csv","1771",".csv","included","result/idea_scan/medicare_age65_age_bins.csv","published_lightweight_result"
"result\idea_scan\medicare_age65_estimates.csv","13399",".csv","included","result/idea_scan/medicare_age65_estimates.csv","published_lightweight_result"
"result\idea_scan\medicare_age65_fpl_prepost_support.csv","458",".csv","included","result/idea_scan/medicare_age65_fpl_prepost_support.csv","published_lightweight_result"
"result\idea_scan\medicare_age65_prepost_cells.csv","991",".csv","included","result/idea_scan/medicare_age65_prepost_cells.csv","published_lightweight_result"
"result\idea_scan\medicare_age65_support.csv","588",".csv","included","result/idea_scan/medicare_age65_support.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_food_estimates.csv","6615",".csv","included","result/idea_scan/minimum_wage_food_estimates.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_food_household_year_panel.parquet","4924302",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\minimum_wage_food_policy.csv","18042",".csv","included","result/idea_scan/minimum_wage_food_policy.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_food_support.csv","349",".csv","included","result/idea_scan/minimum_wage_food_support.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_food_year_support.csv","260",".csv","included","result/idea_scan/minimum_wage_food_year_support.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_policy_dol_history.csv","17200",".csv","included","result/idea_scan/minimum_wage_policy_dol_history.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_spillover_estimates.csv","5405",".csv","included","result/idea_scan/minimum_wage_spillover_estimates.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_spillover_sample_support.csv","261",".csv","included","result/idea_scan/minimum_wage_spillover_sample_support.csv","published_lightweight_result"
"result\idea_scan\minimum_wage_spillover_year_support.csv","241",".csv","included","result/idea_scan/minimum_wage_spillover_year_support.csv","published_lightweight_result"
"result\idea_scan\no_surprises_act_estimates.csv","3176",".csv","included","result/idea_scan/no_surprises_act_estimates.csv","published_lightweight_result"
"result\idea_scan\no_surprises_act_event.csv","2510",".csv","included","result/idea_scan/no_surprises_act_event.csv","published_lightweight_result"
"result\idea_scan\no_surprises_act_person_year_panel.parquet","3452321",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\no_surprises_act_support.csv","412",".csv","included","result/idea_scan/no_surprises_act_support.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_estimates.csv","10027",".csv","included","result/idea_scan/paid_sick_leave_estimates.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_event.csv","4525",".csv","included","result/idea_scan/paid_sick_leave_event.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_event_support.csv","1721",".csv","included","result/idea_scan/paid_sick_leave_event_support.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_leave_one.csv","4777",".csv","included","result/idea_scan/paid_sick_leave_leave_one.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_person_year_panel.parquet","8429843",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\paid_sick_leave_state_year_support.csv","15034",".csv","included","result/idea_scan/paid_sick_leave_state_year_support.csv","published_lightweight_result"
"result\idea_scan\paid_sick_leave_support.csv","805",".csv","included","result/idea_scan/paid_sick_leave_support.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_early_exit_estimates.csv","10914",".csv","included","result/idea_scan/pandemic_ui_early_exit_estimates.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_early_exit_support.csv","282",".csv","included","result/idea_scan/pandemic_ui_early_exit_support.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_food_estimates.csv","6617",".csv","included","result/idea_scan/pandemic_ui_food_estimates.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_food_person_year_panel.parquet","342159",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\pandemic_ui_food_support.csv","406",".csv","included","result/idea_scan/pandemic_ui_food_support.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_person_fe_event_estimates.csv","25540",".csv","included","result/idea_scan/pandemic_ui_person_fe_event_estimates.csv","published_lightweight_result"
"result\idea_scan\pandemic_ui_person_fe_event_summary.csv","4702",".csv","included","result/idea_scan/pandemic_ui_person_fe_event_summary.csv","published_lightweight_result"
"result\idea_scan\postpartum_proxy_person_year_panel.parquet","43749",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\postpartum_proxy_state_support.csv","955",".csv","included","result/idea_scan/postpartum_proxy_state_support.csv","published_lightweight_result"
"result\idea_scan\postpartum_proxy_upper_bound.csv","299",".csv","included","result/idea_scan/postpartum_proxy_upper_bound.csv","published_lightweight_result"
"result\idea_scan\postpartum_proxy_year_support.csv","1157",".csv","included","result/idea_scan/postpartum_proxy_year_support.csv","published_lightweight_result"
"result\idea_scan\ptc_400fpl_density_bins.csv","2802",".csv","included","result/idea_scan/ptc_400fpl_density_bins.csv","published_lightweight_result"
"result\idea_scan\ptc_400fpl_rddid_fast_estimates.csv","114909",".csv","included","result/idea_scan/ptc_400fpl_rddid_fast_estimates.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_event_estimates.csv","3342",".csv","included","result/idea_scan/ptc_premium_event_estimates.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_event_support.csv","841",".csv","included","result/idea_scan/ptc_premium_event_support.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_intensity_estimates.csv","1123",".csv","included","result/idea_scan/ptc_premium_intensity_estimates.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_intensity_support.csv","330",".csv","included","result/idea_scan/ptc_premium_intensity_support.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_policy_state_year.csv","31644",".csv","included","result/idea_scan/ptc_premium_policy_state_year.csv","published_lightweight_result"
"result\idea_scan\ptc_premium_state_support.csv","2030",".csv","included","result/idea_scan/ptc_premium_state_support.csv","published_lightweight_result"
"result\idea_scan\public_charge_cell_means.csv","1708",".csv","included","result/idea_scan/public_charge_cell_means.csv","published_lightweight_result"
"result\idea_scan\public_charge_ddd_estimates.csv","15916",".csv","included","result/idea_scan/public_charge_ddd_estimates.csv","published_lightweight_result"
"result\idea_scan\public_charge_model_support.csv","327",".csv","included","result/idea_scan/public_charge_model_support.csv","published_lightweight_result"
"result\idea_scan\public_charge_person_support.csv","254",".csv","included","result/idea_scan/public_charge_person_support.csv","published_lightweight_result"
"result\idea_scan\public_charge_status_value_counts.csv","428",".csv","included","result/idea_scan/public_charge_status_value_counts.csv","published_lightweight_result"
"result\idea_scan\reinsurance_ddd_fast_estimates.csv","1308",".csv","included","result/idea_scan/reinsurance_ddd_fast_estimates.csv","published_lightweight_result"
"result\idea_scan\reinsurance_state_month_cells.csv","1592278",".csv","included","result/idea_scan/reinsurance_state_month_cells.csv","published_lightweight_result"
"result\idea_scan\reinsurance_support_by_state.csv","620",".csv","included","result/idea_scan/reinsurance_support_by_state.csv","published_lightweight_result"
"result\idea_scan\sipp_adult_idea_evidence_map.csv","7710",".csv","included","result/idea_scan/sipp_adult_idea_evidence_map.csv","published_lightweight_result"
"result\idea_scan\snap_ea_estimates.csv","8028",".csv","included","result/idea_scan/snap_ea_estimates.csv","published_lightweight_result"
"result\idea_scan\snap_ea_event.csv","2365",".csv","included","result/idea_scan/snap_ea_event.csv","published_lightweight_result"
"result\idea_scan\snap_ea_event_support.csv","685",".csv","included","result/idea_scan/snap_ea_event_support.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_estimates.csv","8059",".csv","included","result/idea_scan/snap_ea_household_estimates.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_estimates_state_cluster.csv","2592",".csv","included","result/idea_scan/snap_ea_household_estimates_state_cluster.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_event.csv","2375",".csv","included","result/idea_scan/snap_ea_household_event.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_leave_one.csv","8765",".csv","included","result/idea_scan/snap_ea_household_leave_one.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_state_year_support.csv","18646",".csv","included","result/idea_scan/snap_ea_household_state_year_support.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_support.csv","563",".csv","included","result/idea_scan/snap_ea_household_support.csv","published_lightweight_result"
"result\idea_scan\snap_ea_household_year_panel.parquet","6473807",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\snap_ea_leave_one.csv","8278",".csv","included","result/idea_scan/snap_ea_leave_one.csv","published_lightweight_result"
"result\idea_scan\snap_ea_person_year_panel.parquet","8652186",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\snap_ea_state_year_support.csv","18471",".csv","included","result/idea_scan/snap_ea_state_year_support.csv","published_lightweight_result"
"result\idea_scan\snap_ea_support.csv","557",".csv","included","result/idea_scan/snap_ea_support.csv","published_lightweight_result"
"result\idea_scan\state_marketplace_subsidy_estimates.csv","3225",".csv","included","result/idea_scan/state_marketplace_subsidy_estimates.csv","published_lightweight_result"
"result\idea_scan\state_marketplace_subsidy_event.csv","5057",".csv","included","result/idea_scan/state_marketplace_subsidy_event.csv","published_lightweight_result"
"result\idea_scan\state_marketplace_subsidy_person_year_panel.parquet","3628798",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\state_marketplace_subsidy_support.csv","564",".csv","included","result/idea_scan/state_marketplace_subsidy_support.csv","published_lightweight_result"
"result\idea_scan\student_loan_repayment_annual_pairs.parquet","2775923",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\student_loan_repayment_annual_support.csv","902",".csv","included","result/idea_scan/student_loan_repayment_annual_support.csv","published_lightweight_result"
"result\idea_scan\student_loan_repayment_estimates.csv","13833",".csv","included","result/idea_scan/student_loan_repayment_estimates.csv","published_lightweight_result"
"result\idea_scan\student_loan_repayment_monthly_panel.parquet","11167360",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\student_loan_repayment_raw_cells.csv","8471",".csv","included","result/idea_scan/student_loan_repayment_raw_cells.csv","published_lightweight_result"
"result\idea_scan\student_loan_repayment_support.csv","6732",".csv","included","result/idea_scan/student_loan_repayment_support.csv","published_lightweight_result"
"result\idea_scan\washington_wftc_estimates.csv","3566",".csv","included","result/idea_scan/washington_wftc_estimates.csv","published_lightweight_result"
"result\idea_scan\washington_wftc_person_year_panel.parquet","1442668",".parquet","excluded","","excluded_large_or_raw_format"
"result\idea_scan\washington_wftc_support.csv","298",".csv","included","result/idea_scan/washington_wftc_support.csv","published_lightweight_result"
"result\logs\pipeline.log","1206",".log","excluded","","excluded_large_or_raw_format"
"result\logs\remaining_phases.pid","7",".pid","excluded","","excluded_large_or_raw_format"
"result\logs\remaining_phases_stderr.log","0",".log","excluded","","excluded_large_or_raw_format"
"result\logs\remaining_phases_stdout.log","127",".log","excluded","","excluded_large_or_raw_format"
"result\logs\run_pipeline.pid","7",".pid","excluded","","excluded_large_or_raw_format"
"result\logs\run_pipeline_stderr.log","5993",".log","excluded","","excluded_large_or_raw_format"
"result\logs\run_pipeline_stdout.log","334",".log","excluded","","excluded_large_or_raw_format"
"result\models\main_hazard_results_long.csv","10663",".csv","included","result/models/main_hazard_results_long.csv","published_lightweight_result"
"result\tables\coverage_outcome_counts_by_year_regime.csv","770",".csv","included","result/tables/coverage_outcome_counts_by_year_regime.csv","published_lightweight_result"
"result\tables\coverage_transition_matrix_by_year.csv","1391",".csv","included","result/tables/coverage_transition_matrix_by_year.csv","published_lightweight_result"
"result\tables\crossing_outcome_counts_by_threshold_window.csv","769",".csv","included","result/tables/crossing_outcome_counts_by_threshold_window.csv","published_lightweight_result"
"result\tables\event_study_results.csv","3314",".csv","included","result/tables/event_study_results.csv","published_lightweight_result"
"result\tables\main_hazard_results.csv","10663",".csv","included","result/tables/main_hazard_results.csv","published_lightweight_result"
"result\tables\sample_counts_by_year_regime.csv","760",".csv","included","result/tables/sample_counts_by_year_regime.csv","published_lightweight_result"
"result\tables\sensitivity_summary.csv","17152",".csv","included","result/tables/sensitivity_summary.csv","published_lightweight_result"
"result\tables\temporary_crossing_counts_by_year_regime.csv","760",".csv","included","result/tables/temporary_crossing_counts_by_year_regime.csv","published_lightweight_result"
"script\__pycache__\pipeline_lib.cpython-314.pyc","115601",".pyc","excluded","","excluded_large_or_raw_format"
"script\__pycache__\run_pipeline.cpython-314.pyc","240",".pyc","excluded","","excluded_large_or_raw_format"
"script\__pycache__\run_remaining_phases.cpython-314.pyc","486",".pyc","excluded","","excluded_large_or_raw_format"
"script\00_setup\__pycache__\00_initialize_workspace.cpython-314.pyc","555",".pyc","excluded","","excluded_large_or_raw_format"
"script\00_setup\00_initialize_workspace.py","202",".py","included","script/00_setup/00_initialize_workspace.py","published_rebuild_script"
"script\02_metadata_audit\__pycache__\01_metadata_audit.cpython-314.pyc","507",".pyc","excluded","","excluded_large_or_raw_format"
"script\02_metadata_audit\01_metadata_audit.py","157",".py","included","script/02_metadata_audit/01_metadata_audit.py","published_rebuild_script"
"script\03_build_panel\__pycache__\01_build_person_month_panel.cpython-314.pyc","510",".pyc","excluded","","excluded_large_or_raw_format"
"script\03_build_panel\01_build_person_month_panel.py","151",".py","included","script/03_build_panel/01_build_person_month_panel.py","published_rebuild_script"
"script\04_construct_variables\__pycache__\01_construct_variables.cpython-314.pyc","522",".pyc","excluded","","excluded_large_or_raw_format"
"script\04_construct_variables\01_construct_variables.py","167",".py","included","script/04_construct_variables/01_construct_variables.py","published_rebuild_script"
"script\05_policy_files\__pycache__\01_build_policy_files.cpython-314.pyc","513",".pyc","excluded","","excluded_large_or_raw_format"
"script\05_policy_files\01_build_policy_files.py","165",".py","included","script/05_policy_files/01_build_policy_files.py","published_rebuild_script"
"script\06_descriptive_audit\__pycache__\01_descriptive_audit.cpython-314.pyc","516",".pyc","excluded","","excluded_large_or_raw_format"
"script\06_descriptive_audit\01_descriptive_audit.py","163",".py","included","script/06_descriptive_audit/01_descriptive_audit.py","published_rebuild_script"
"script\07_causal_models\__pycache__\01_causal_models.cpython-314.pyc","503",".pyc","excluded","","excluded_large_or_raw_format"
"script\07_causal_models\01_causal_models.py","155",".py","included","script/07_causal_models/01_causal_models.py","published_rebuild_script"
"script\08_causal_ml\__pycache__\01_causal_ml_audit.cpython-314.pyc","504",".pyc","excluded","","excluded_large_or_raw_format"
"script\08_causal_ml\01_causal_ml_audit.py","159",".py","included","script/08_causal_ml/01_causal_ml_audit.py","published_rebuild_script"
"script\09_sensitivity\__pycache__\01_sensitivity.cpython-314.pyc","497",".pyc","excluded","","excluded_large_or_raw_format"
"script\09_sensitivity\01_sensitivity.py","151",".py","included","script/09_sensitivity/01_sensitivity.py","published_rebuild_script"
"script\10_reporting\__pycache__\01_final_memo.cpython-314.pyc","493",".pyc","excluded","","excluded_large_or_raw_format"
"script\10_reporting\01_final_memo.py","148",".py","included","script/10_reporting/01_final_memo.py","published_rebuild_script"
"script\11_idea_scan\__pycache__\10_aca_market_governance_fast_test.cpython-314.pyc","38694",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\11_no_surprises_act_fast_test.cpython-314.pyc","30500",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\12_state_marketplace_subsidy_fast_test.cpython-314.pyc","32040",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\13_family_glitch_stldi_fast_test.cpython-314.pyc","41960",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\14_adult_medicaid_dental_fast_test.cpython-314.pyc","33290",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\15_paid_sick_leave_fast_test.cpython-314.pyc","38401",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\16_snap_ea_fast_test.cpython-314.pyc","38337",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\17_snap_ea_household_test.cpython-314.pyc","43983",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\18_postpartum_proxy_support_check.cpython-314.pyc","12892",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\19_pandemic_ui_food_security_test.cpython-314.pyc","29514",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\20_washington_wftc_fast_test.cpython-314.pyc","24900",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\26_arpa_400fpl_employer_mechanism_test.cpython-314.pyc","31222",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\27_arpa_400fpl_rd_diagnostics.cpython-314.pyc","26998",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\28_arpa_400fpl_premium_gradient_test.cpython-314.pyc","27727",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\29_late_medicaid_expansion_threshold_test.cpython-314.pyc","35379",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\30_late_medicaid_expansion_robustness.cpython-314.pyc","10759",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\31_public_charge_immigrant_chilling_test.cpython-314.pyc","40200",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\32_georgia_pathways_work_requirement_test.cpython-314.pyc","36286",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\33_medicare_age65_threshold_test.cpython-314.pyc","33097",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\34_ira_insulin_medicare_fast_test.cpython-314.pyc","35768",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\35_arpa_ui_marketplace_subsidy_test.cpython-314.pyc","33299",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\36_low_income_sep_150fpl_test.cpython-314.pyc","33988",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\37_arpa_cobra_subsidy_test.cpython-314.pyc","50907",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\38_family_glitch_premium_burden_test.cpython-314.pyc","48798",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\39_student_loan_repayment_resumption_test.cpython-314.pyc","62357",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\40_arpa_400fpl_source_decomposition_test.cpython-314.pyc","56886",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\41_arpa_400fpl_robustness_pack.cpython-314.pyc","26950",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\__pycache__\42_arpa_400fpl_paper_tables_figures.cpython-314.pyc","22475",".pyc","excluded","","excluded_large_or_raw_format"
"script\11_idea_scan\01_fast_sipp_idea_screen.py","30458",".py","included","script/11_idea_scan/01_fast_sipp_idea_screen.py","published_rebuild_script"
"script\11_idea_scan\02_ptc_400fpl_fast_test.py","12434",".py","included","script/11_idea_scan/02_ptc_400fpl_fast_test.py","published_rebuild_script"
"script\11_idea_scan\03_reinsurance_fast_test.py","11267",".py","included","script/11_idea_scan/03_reinsurance_fast_test.py","published_rebuild_script"
"script\11_idea_scan\04_pandemic_ui_early_exit_fast_test.py","14971",".py","included","script/11_idea_scan/04_pandemic_ui_early_exit_fast_test.py","published_rebuild_script"
"script\11_idea_scan\05_minimum_wage_spillover_fast_test.py","16482",".py","included","script/11_idea_scan/05_minimum_wage_spillover_fast_test.py","published_rebuild_script"
"script\11_idea_scan\06_pandemic_ui_person_fe_event_test.py","10120",".py","included","script/11_idea_scan/06_pandemic_ui_person_fe_event_test.py","published_rebuild_script"
"script\11_idea_scan\07_childless_eitc_fast_test.py","15228",".py","included","script/11_idea_scan/07_childless_eitc_fast_test.py","published_rebuild_script"
"script\11_idea_scan\08_ptc_premium_intensity_test.py","18893",".py","included","script/11_idea_scan/08_ptc_premium_intensity_test.py","published_rebuild_script"
"script\11_idea_scan\09_ptc_premium_event_test.py","8326",".py","included","script/11_idea_scan/09_ptc_premium_event_test.py","published_rebuild_script"
"script\11_idea_scan\10_aca_market_governance_fast_test.py","25388",".py","included","script/11_idea_scan/10_aca_market_governance_fast_test.py","published_rebuild_script"
"script\11_idea_scan\11_no_surprises_act_fast_test.py","17995",".py","included","script/11_idea_scan/11_no_surprises_act_fast_test.py","published_rebuild_script"
"script\11_idea_scan\12_state_marketplace_subsidy_fast_test.py","20239",".py","included","script/11_idea_scan/12_state_marketplace_subsidy_fast_test.py","published_rebuild_script"
"script\11_idea_scan\13_family_glitch_stldi_fast_test.py","27025",".py","included","script/11_idea_scan/13_family_glitch_stldi_fast_test.py","published_rebuild_script"
"script\11_idea_scan\14_adult_medicaid_dental_fast_test.py","20711",".py","included","script/11_idea_scan/14_adult_medicaid_dental_fast_test.py","published_rebuild_script"
"script\11_idea_scan\15_paid_sick_leave_fast_test.py","26345",".py","included","script/11_idea_scan/15_paid_sick_leave_fast_test.py","published_rebuild_script"
"script\11_idea_scan\16_snap_ea_fast_test.py","25806",".py","included","script/11_idea_scan/16_snap_ea_fast_test.py","published_rebuild_script"
"script\11_idea_scan\17_snap_ea_household_test.py","28416",".py","included","script/11_idea_scan/17_snap_ea_household_test.py","published_rebuild_script"
"script\11_idea_scan\18_postpartum_proxy_support_check.py","9123",".py","included","script/11_idea_scan/18_postpartum_proxy_support_check.py","published_rebuild_script"
"script\11_idea_scan\19_pandemic_ui_food_security_test.py","17643",".py","included","script/11_idea_scan/19_pandemic_ui_food_security_test.py","published_rebuild_script"
"script\11_idea_scan\20_washington_wftc_fast_test.py","14226",".py","included","script/11_idea_scan/20_washington_wftc_fast_test.py","published_rebuild_script"
"script\11_idea_scan\21_minimum_wage_food_security_test.py","20173",".py","included","script/11_idea_scan/21_minimum_wage_food_security_test.py","published_rebuild_script"
"script\11_idea_scan\22_aca_reinsurance_fast_test.py","19018",".py","included","script/11_idea_scan/22_aca_reinsurance_fast_test.py","published_rebuild_script"
"script\11_idea_scan\23_arkansas_medicaid_work_requirement_test.py","16604",".py","included","script/11_idea_scan/23_arkansas_medicaid_work_requirement_test.py","published_rebuild_script"
"script\11_idea_scan\24_arpa_400fpl_cliff_diffdisc_test.py","23669",".py","included","script/11_idea_scan/24_arpa_400fpl_cliff_diffdisc_test.py","published_rebuild_script"
"script\11_idea_scan\25_arpa_low_income_nonexpansion_test.py","16308",".py","included","script/11_idea_scan/25_arpa_low_income_nonexpansion_test.py","published_rebuild_script"
"script\11_idea_scan\26_arpa_400fpl_employer_mechanism_test.py","16788",".py","included","script/11_idea_scan/26_arpa_400fpl_employer_mechanism_test.py","published_rebuild_script"
"script\11_idea_scan\27_arpa_400fpl_rd_diagnostics.py","14599",".py","included","script/11_idea_scan/27_arpa_400fpl_rd_diagnostics.py","published_rebuild_script"
"script\11_idea_scan\28_arpa_400fpl_premium_gradient_test.py","14772",".py","included","script/11_idea_scan/28_arpa_400fpl_premium_gradient_test.py","published_rebuild_script"
"script\11_idea_scan\29_late_medicaid_expansion_threshold_test.py","20665",".py","included","script/11_idea_scan/29_late_medicaid_expansion_threshold_test.py","published_rebuild_script"
"script\11_idea_scan\30_late_medicaid_expansion_robustness.py","6611",".py","included","script/11_idea_scan/30_late_medicaid_expansion_robustness.py","published_rebuild_script"
"script\11_idea_scan\31_public_charge_immigrant_chilling_test.py","22892",".py","included","script/11_idea_scan/31_public_charge_immigrant_chilling_test.py","published_rebuild_script"
"script\11_idea_scan\32_georgia_pathways_work_requirement_test.py","21161",".py","included","script/11_idea_scan/32_georgia_pathways_work_requirement_test.py","published_rebuild_script"
"script\11_idea_scan\33_medicare_age65_threshold_test.py","19155",".py","included","script/11_idea_scan/33_medicare_age65_threshold_test.py","published_rebuild_script"
"script\11_idea_scan\34_ira_insulin_medicare_fast_test.py","22084",".py","included","script/11_idea_scan/34_ira_insulin_medicare_fast_test.py","published_rebuild_script"
"script\11_idea_scan\35_arpa_ui_marketplace_subsidy_test.py","20246",".py","included","script/11_idea_scan/35_arpa_ui_marketplace_subsidy_test.py","published_rebuild_script"
